NAME,ADDRESS_AB,longitude,latitude
Alternative High,5003 - 20 Street S.W.,-114.10996,51.00965946
Elbow Park,721 - 38 Avenue S.W.,-114.082197,51.01957747
Dalhousie,4440 Dallyn Street NW,-114.1513785,51.10652693
Janet Johnstone,224 Shawnessy Drive S.W.,-114.080086,50.90936931
Captain Nichola Goddard,405 Panatella Blvd NW,-114.0886788,51.16245093
Terry Fox,139 Falshire Drive N.E.,-113.945104,51.10465691
St. Damien,3619 - 28 Street S.E.,-113.9922281,51.02192022
Saddle Ridge,368 Saddlecrest Blvd N.E.,-113.9368796,51.13688258
Project Trust,"#206, 315 10 avenue  S.E.",-114.0828403,51.07207022
Colonel J. Fred Scott,171 Whitehorn Road N.E.,-113.9681644,51.0877669
Start Outreach,4110 - 79 Street NW,-114.2019032,51.08942953
University,3035 Utah Drive N.W.,-114.1332756,51.0698082
Phoenix Education Foundation,320 19 Street S.E.,-114.0078257,51.05026416
Banbury Crossroads,B1 #201 2451 Dieppe Avenue S.W.,-114.1190388,51.01928658
St. Gerard Bilingual,1204 - 96 Avenue S.W.,-114.0884791,50.96887003
Centennial High,"55 Sun Valley Boulevard, S.E.",-114.0533548,50.90610968
St. Mary's High,111 - 18 Avenue S.W.,-114.0640176,51.03661432
Midnapore,55 Midpark Rise S.E.,-114.0551747,50.91504021
Maple Ridge,10203 Maplemont Road S.E.,-114.0419588,50.96189052
Bishop Kidd,1420 - 28 Street S.E.,-113.9921283,51.0405772
John Ware,10020 - 19 Street S.W.,-114.1053048,50.96365477
Willow Park,343 Willow Park Drive S.E.,-114.0606873,50.95779616
Clear Water Academy,2521 Dieppe Avenue SW,-114.120974,51.01937604
Westmount Mid/High,2215 Uxbridge Dr. N.W.,-114.1325128,51.07104759
St. Rose of Lima Junior High,2419 50 Street NE,-113.9622789,51.07580057
St. Sebastian Elementary,65 Chaparal Drive SE,-114.029127,50.88484306
Ron Southern,483 Silverado Blvd. SW,-114.0856882,50.88093182
Northern Lights,711 Coventry Drive NE,-114.0469265,51.15761631
Emily Follensbee,5139 - 14 Street S.W.,-114.0955749,51.00763587
St. Thomas More,6110 Temple Drive N.E.,-113.9455347,51.08541163
Access Academy,B1 - 2451 Dieppe Avenue S.W. Box 100,-114.1190388,51.01928658
New Heights School and Learning Services,2521 Dieppe Ave SW,-114.1221707,51.01847359
Dr. E. P. Scarlett High,220 Canterbury Drive S.W.,-114.0879719,50.94878736
St. Cecilia (Bilingual) Elementary,610 Agate Crescent S.E.,-114.0504111,50.96529608
